Start,End,Open,High,Low,Close,Volume,Market Cap
2017-10-08,2017-10-09,309.678413005,311.680556489,308.493897766,309.811321965,218218314.3329219,29584630712.434322
2017-10-07,2017-10-08,307.534123878,311.969338949,304.355535222,309.989525852,303773548.280772,29392604910.209175
2017-10-06,2017-10-07,294.663889399,307.934787158,294.125549705,307.934787158,185611459.82755265,28460579922.50906
2017-10-05,2017-10-06,293.682872971,296.608512214,288.832715406,294.677510879,204906065.08928972,27745917617.620407
2017-10-04,2017-10-05,292.279682264,295.13297161,290.778193326,293.705334112,222612235.58680835,27928847683.085632
2017-10-03,2017-10-04,296.614893576,299.042273846,287.562857927,291.676198203,254936127.9597244,27870722647.00512
2017-10-02,2017-10-03,300.538624648,301.084756538,294.465894968,296.380814306,259497811.0080861,28505190271.29941
2017-10-01,2017-10-02,298.826867344,301.466525916,294.694413234,300.496064679,242131736.6369892,28504287911.11646
2017-09-30,2017-10-01,289.12605481,300.461533386,288.95266098,298.854338479,296228739.1355817,28347220254.825687
2017-09-29,2017-09-30,299.155,299.924,279.773,289.10986098,500767824.5819674,27448126480.84363
2017-09-28,2017-09-29,306.467,307.198,295.47,299.412,597511916.6666666,28565281677.704197
2017-09-27,2017-09-28,287.438,308.015,286.82,306.727,391579343.75,27899599656.914745
2017-09-26,2017-09-27,292.332,293.75,287.02,287.504,420600418.1184669,27524552259.682167
2017-09-25,2017-09-26,282.483,293.515,281.876,292.234,474581324.0418118,27353975623.317017
2017-09-24,2017-09-25,286.168,292.948,278.132,282.367,574672629.3706294,27025333355.61502
2017-09-23,2017-09-24,264.31,285.838,261.12,285.838,423384975.6944444,26052491677.23389
2017-09-22,2017-09-23,258.58,270.54,256.218,264.854,593948006.9686412,24827461695.55067
2017-09-21,2017-09-22,283.742,286.61,255.016,258.705,446610751.74825174,26094323328.86731
2017-09-20,2017-09-21,282.804,290.886,278.049,284.252,496045996.5277778,26922208794.462067
2017-09-19,2017-09-20,293.497,295.768,274.484,282.922,796395097.902098,27010380133.586792
2017-09-18,2017-09-19,251.749,292.895,251.749,292.832,917516275.261324,26700964260.145702
2017-09-17,2017-09-18,246.522,256.996,235.24,251.904,507871132.4041812,23250092977.526245
2017-09-16,2017-09-17,250.464,262.593,238.223,246.419,1370265975.609756,23679488723.930553
2017-09-15,2017-09-16,213.908,258.655,195.035,251.187,1667455749.1289198,22050359023.790737
2017-09-14,2017-09-15,277.112,280.84,214.172,214.172,942577809.0277778,23800400161.162853
2017-09-13,2017-09-14,291.122,291.122,260.61,277.133,843924340.2777778,26105101237.31805
2017-09-12,2017-09-13,294.532,311.195,287.228,291.464,624702083.9416058,28296113115.804806
2017-09-11,2017-09-12,288.747,300.688,286.685,294.326,653834947.9166666,27786953972.20947
2017-09-10,2017-09-11,294.405,294.764,268.973,288.722,600371355.4006969,26922473820.70231
2017-09-09,2017-09-10,296.497,299.891,287.22,294.317,946916233.4494773,27692911485.510723
2017-09-08,2017-09-09,329.428,329.636,285.157,296.662,754892458.0419581,29641283189.333042
2017-09-07,2017-09-08,334.338,334.338,319.939,329.172,821700647.4820144,30818770935.35056
2017-09-06,2017-09-07,312.988,334.658,312.988,334.045,1308790138.8888888,30968853637.43959
