Start,End,Open,High,Low,Close,Volume,Market Cap
2017-04-06,2017-04-07,2.75723,2.81398,2.45945,2.64544,8069801.111111111,244146881.0233647
2017-04-05,2017-04-06,2.67488,2.79689,2.64928,2.76881,5048716.388888889,243301535.19851822
2017-04-04,2017-04-05,2.60233,2.70617,2.58195,2.67494,7610347.421602787,238211380.0394317
2017-04-03,2017-04-04,2.64483,2.77304,2.51336,2.59515,12290021.319444444,238781809.83836448
2017-04-02,2017-04-03,2.7557,2.81509,2.52347,2.64052,6999429.6875,245669437.08666885
2017-04-01,2017-04-02,2.82794,2.82794,2.74751,2.7595,14727190.798611112,249752435.90308332
2017-03-31,2017-04-01,2.8304,2.98654,2.60214,2.83261,27551409.407665506,246582524.05563828
2017-03-30,2017-03-31,2.32741,2.98556,2.2801,2.8525,7475507.282229966,215922846.42366305
2017-03-29,2017-03-30,2.26758,2.38207,2.25175,2.33065,6729283.4375,208369494.65202364
2017-03-28,2017-03-29,2.13444,2.34972,2.13444,2.2663,7613434.529616725,201438837.88761103
2017-03-27,2017-03-28,2.31098,2.37373,2.12368,2.13312,5559564.027777778,210434954.4895369
2017-03-26,2017-03-27,2.2811,2.37749,2.27592,2.29288,6068324.201388889,209786878.93323618
2017-03-25,2017-03-26,2.41294,2.43064,2.28238,2.28238,10887790.347222222,213460149.57186854
2017-03-24,2017-03-25,2.28985,2.48211,2.27054,2.42108,8524110.522648083,213631075.01286444
2017-03-23,2017-03-24,2.40073,2.40073,2.24331,2.29789,11837842.569444444,207761405.875617
2017-03-22,2017-03-23,2.42539,2.50691,2.25173,2.39633,25144714.583333332,213915561.94593087
2017-03-21,2017-03-22,1.95108,2.42136,1.90812,2.40554,9640325.191637632,186261483.23845923
2017-03-20,2017-03-21,1.92197,2.01155,1.92197,1.94837,6789933.263157895,178251764.7082336
2017-03-19,2017-03-20,1.69771,1.99751,1.69771,1.91795,8213337.361111111,164758750.55089203
2017-03-18,2017-03-19,1.90523,1.91388,1.64559,1.68935,11831219.722222222,159451212.91529787
2017-03-17,2017-03-18,2.13338,2.22015,1.80936,1.90361,21381096.51567944,175964515.04774025
2017-03-16,2017-03-17,1.80128,2.13365,1.79915,2.11617,13506494.131944444,174666464.78541672
2017-03-15,2017-03-16,1.655,1.79606,1.64181,1.79606,5447436.215277778,152433983.09321597
2017-03-14,2017-03-15,1.64799,1.78182,1.62862,1.65082,12033409.545454545,151856012.7901656
2017-03-13,2017-03-14,1.42378,1.66996,1.41821,1.64827,5280405.3125,135143881.35658652
2017-03-12,2017-03-13,1.38419,1.4345,1.37091,1.42335,2644106.9791666665,125867473.40105279
2017-03-11,2017-03-12,1.29706,1.38981,1.29609,1.38466,4181402.986111111,119457599.9440221
2017-03-10,2017-03-11,1.32497,1.3805,1.23352,1.30366,1733679.181184669,118829028.98259263
2017-03-09,2017-03-10,1.28639,1.33139,1.27943,1.32677,1647203.4722222222,116899468.02775021
2017-03-08,2017-03-09,1.37375,1.37408,1.28792,1.28934,2080584.7222222222,118607302.66197498
2017-03-07,2017-03-08,1.42989,1.43544,1.35373,1.37452,1875398.850174216,125052203.30491127
2017-03-06,2017-03-07,1.39821,1.43587,1.39791,1.43084,1207061.78125,126337286.66862457
2017-03-05,2017-03-06,1.43287,1.43503,1.38877,1.39503,1717237.2569444445,125470144.4639008
2017-03-04,2017-03-05,1.43947,1.4825,1.39706,1.43413,3762919.4791666665,128395670.05563696
2017-03-03,2017-03-04,1.36355,1.43689,1.35352,1.43642,3707532.543554007,123809686.14683689
2017-03-02,2017-03-03,1.39994,1.40187,1.34313,1.36415,5152428.819444444,121612839.2446608
2017-03-01,2017-03-02,1.23705,1.42378,1.23168,1.39953,1903356.7291666667,115068002.1838519
2017-02-28,2017-03-01,1.23391,1.25594,1.23052,1.23782,1670399.7535211267,110955665.70100538
2017-02-27,2017-02-28,1.2483,1.25833,1.23025,1.23243,1229479.3541666667,110922728.07716173
2017-02-26,2017-02-27,1.21149,1.25072,1.19526,1.24822,1359635,109818394.85648593
2017-02-25,2017-02-26,1.20861,1.21989,1.17456,1.21108,1673635.3658536586,106713888.01107134
2017-02-24,2017-02-25,1.22267,1.24179,1.20066,1.20885,1914549.1319444445,109692006.63328591
