Start,End,Open,High,Low,Close,Volume,Market Cap
2012-03-22,2012-03-23,4.7043,4.7043,4.7043,4.7043,0,40505907.170156136
2012-03-23,2012-03-24,4.686,4.686,4.686,4.686,0,40358184.7625001
2012-03-24,2012-03-25,4.676,4.676,4.676,4.676,0,40272059.74166678
2012-03-25,2012-03-26,4.55,4.55,4.55,4.55,0,39192102.00339986
2012-03-26,2012-03-27,4.6191,4.6191,4.6191,4.6191,0,39920687.22750021
2012-03-27,2012-03-28,4.8113,4.8113,4.8113,4.8113,0,41581780.53249987
2012-03-28,2012-03-29,4.788,4.788,4.788,4.788,0,41380409.700000115
2012-03-29,2012-03-30,4.8084,4.8084,4.8084,4.8084,0,41564695.03569427
2012-03-30,2012-03-31,4.86,4.86,4.86,4.86,0,42147813.37500001
2012-03-31,2012-04-01,4.9087,4.9087,4.9087,4.9087,0,42570158.74770861
2012-04-01,2012-04-02,4.827,4.827,4.827,4.827,0,41861624.51874988
2012-04-02,2012-04-03,4.974,4.974,4.974,4.974,0,43136465.787500225
2012-04-03,2012-04-04,4.952,4.952,4.952,4.952,0,43084522.403414354
2012-04-04,2012-04-05,4.9101,4.9101,4.9101,4.9101,0,42728610.84375
2012-04-05,2012-04-06,4.919,4.919,4.919,4.919,0,42806060.3125
2012-04-06,2012-04-07,4.9499,4.9499,4.9499,4.9499,0,43074957.90625
2012-04-07,2012-04-08,4.6872,4.6872,4.6872,4.6872,0,40850091.58999989
2012-04-08,2012-04-09,4.7925,4.7925,4.7925,4.7925,0,41846023.26562501
2012-04-09,2012-04-10,4.8719,4.8719,4.8719,4.8719,0,42539309.49354171
2012-04-10,2012-04-11,4.8367,4.8367,4.8367,4.8367,0,42231958.420208134
2012-04-11,2012-04-12,4.9279,4.9279,4.9279,4.9279,0,43075089.59359403
2012-04-12,2012-04-13,4.9197,4.9197,4.9197,4.9197,0,43102977.859375
2012-04-13,2012-04-14,4.94,4.94,4.94,4.94,0,43280832.29166655
2012-04-14,2012-04-15,4.9597,4.9597,4.9597,4.9597,0,43453429.94270845
2012-04-15,2012-04-16,4.9689,4.9689,4.9689,4.9689,0,43534033.921875
