,ACCOUNT_ID,CURRENCY_TYPE,Aggregate_Amount_In_Wallet
179,1cf5b07644bbd8cc1023d56194975072,ETH,0.0
180,1d5de7a0e8e45451ab50ffd6082a3b55,BTC,-14635.0197053419
181,1d61377de49a581f2171bebe83abb710,BTC,-0.0240525
182,1d693ed10d1a66b6e74db3bbc2c674a6,BTC,-222.76137227106
183,1d6fcf3bdba8bcb06b2df26e7435d7af,ETH,-3711.23027983195
184,1d86d538bf19b29167936072b27e8397,ETH,-2035.42443297203
185,1dddc81b59eadbe8b1a2afa9ba740746,BTC,0.0
186,1dfaf6dcf36f150a04ebf495453eabaf,BTC,-1373.604697047
187,1e2eee87cf4d3cc93adcc6c06d80e44a,LTC,-0.3493499766551266
188,1e925afc5d6954e002b92386878d667f,BTC,-30132.043955653804
189,1eb4d6b2907eac85a97c0d89cc8783cd,BTC,-11.447999232640008
190,1ef6858f72ba672c51bb40db7ef87388,ETH,-472.74800000000005
191,1f2f096df52b87e556cd152d74c3a5e6,ETH,-143.042948
192,2046f98d73e41777f2404e36257d2930,LTC,-132.089315770754
193,20702b66b4703286aaa7268ce8de03be,BTC,0.0
194,20b42c4ff99b75c19df9bcefaac835f5,BTC,-11040.751859829306
195,20ceabffb506b217630b00679192b019,BTC,0.0
196,20f0dec5512e490d190967d2740f5913,BTC,-5.130962761829999
197,21148d24bd8067730c51b9ebcb1574b6,BTC,-107.23250934407999
198,2150c7578635a830a87c1b5f1a0d487e,BTC,-47.986007929719996
199,2167e233dd5a24de44070f6f40fa9ebf,BTC,-1282.8717804036
200,2175813ffb9799b658e9b3af3950f9f5,BTC,-0.50825546835
201,21929a20a18b3d3b073fa3e55e05a8f8,ETH,-1.281031082
202,2202bf80ec6410ccc0a58d74442c6646,BTC,-18.753335793499996
203,221b3e24baaa77d642a39c2e74fb8c0c,ETH,0.0
204,221f0cef6be86573cb6819edafcab3be,BTC,-10.02755208
205,225be05876002924eb4aedb890973782,LTC,-496.0502507525243
206,22e888e4a45c248a985d9d6510082948,LTC,-475.869
207,22ee87f0f1241a627650b8b9fcb45319,LTC,-100.198891424625
208,2368a3adbb3df261f59b4b86c26c69b5,ETH,-156103.01330067197
209,23ce3a405b113c511723c5919782019f,BTC,-4510.40032484392
210,23e3643c8c96c508089fa1c3d6e0a34d,BTC,-274.89470708700003
211,23eb445cdd5cb6ecdf72a9e55cb4e51a,ETH,0.0
212,240b5826f3a2c0f822ded8eebad42feb,BTC,-20.45454180816122
213,241480e9ee1e6dc94b040f6d3314bfa8,BTC,0.0
214,24935ba850f6103026293257b743edd7,BTC,-254278.58875414156
215,24d17b345c6cf6692337fd86625fcce0,BTC,-26.4669257355
216,24e16da5576d192f3dd27e65134235ae,BTC,-0.06344859
217,250b4f3a8019d5a85b0434811f4d4949,LTC,-642.089138605472
218,254ef8fcb891b56e4b71d8960ec06015,ETH,-10.23011173902
219,255765bf807b51739edefff74710835e,BTC,-22185.913486928963
220,255a6a7459c539af75d156a41af5ed21,BTC,-2.0740238161000017
221,25ccde5bf3daf5ec691d7fee6d559b52,ETH,-1189.3297251953
222,25d53ec0732485872df33bf7d9a38dce,BTC,-9565.074999999999
223,261807217302568f10fde001fd7a5db5,LTC,-566.6480571355704
224,2625647cc42f4327d793bf31cb4503f9,BTC,-58.790911148000006
225,2682b77a158652c16d91e359a6709e34,ETH,-152.39243781538
226,26a7ed02ad2bb1f710a10be995e33ab6,BTC,-7.466441175400041
227,26bc50f699d88890e51be841ff92c8fb,BTC,-293.73875955619997
228,270de1a8cba184e7c0c854f7801ee21b,BTC,-0.039241000000000005
229,275457adf5a3d96caf9924597cd581f6,ETH,-5706.665599999999
230,27a998cb030155a151a8df0944eebdfa,BTC,-6.09320058582
231,27ea96a7ed32048d62695a4920a351e4,BTC,-0.12830240000000143
232,27efd534afdafc361a74ef934ed5d95c,BTC,0.0
233,287b3ff9e7fd357ddd16561cbd85ab24,ETH,-0.952782
234,28faa823684789fa3040a5961ad9f845,BTC,-8.3173799192
235,28fd9308ad9129fcb2c3b917a6f9afd8,ETH,-15.99300520568
236,290025af3bd3dba70ba35daeb4581b92,BTC,-431.5765468517299
237,2933313d84b850cd48338bf37216dd8b,LTC,-353.37861089176704
238,29b89e3e6f5f00f6e038ae9b5240fad8,LTC,-608.0435952324759
239,2a6380fba9d63e9236562122b0da161a,ETH,-260.99702726144
240,2a68e5d6a52bb6c67da2035a06055233,BTC,-6546.224110633999
241,2a7aca0c5e79a97d6d62e1ed2b25c207,BTC,0.0
242,2a905065dc4b350c4ee5ee9e3fa94c59,BTC,-35.715680875800004
243,2a9421de1b940a5c58d045b93d5a79b5,BTC,0.0
244,2acb2022763644b78736f2b283d8c97b,ETH,-8.79856930044
245,2b08e5e24bd3e8558fcc1d0968bb755a,LTC,-1449.3463663106238
246,2b53242bfdf8a37a45e2f7984d3765fc,BTC,-0.0271818
247,2b79b8867c7706562582032b261b689a,BTC,-1.022321564
248,2ba792cb30c261bd4ecb2918808cc3a3,BTC,-10588.466542909768
249,2bda71c23a24c7ef00d6061be6c68b01,BTC,-1.047815232
250,2c4492f7a96f79449183ecc1a8d22107,BTC,-198.1213666777
251,2c996f83a7a055fac2e6ba711f7448b8,ETH,-995.495122748584
252,2d223de2138ffc0bddb5deb9f198f8cc,BTC,-13.334220000000002
253,2d23c880f3b900057495a310878b74c3,BTC,-0.47083473719
254,2d25aef380777fe503d69ddf62999f11,LTC,-10296.698231635712
255,2d2bd86a63d454fc71c09f2bafaea52a,ETH,-1915.30270257016
256,2d2bdb13ff3e7bbf785628b8e6da2a3e,BTC,-0.061688495999999995
257,2d300064dd6ce95a9df572184f94ae35,BTC,-9918.06663632792
258,2d3d443312e866108b70f1e1a067aa5e,BTC,0.0
259,2d665c874631a723c52aa85654dad8cb,BTC,-0.0381337
260,2dc7380cd26f25bfbbfc8027ec725036,BTC,-0.022365600000000003
261,2df36100dd612142fa305de683a3decf,BTC,-55.73006836284001
262,2e1916fc7d1f4900709c21bf12a59ba0,LTC,-1250.091355564699
263,2e41686bc8e1c45048b8012dcd3e5cb0,BTC,-0.0338853
264,2e9541c5d7a777500f78bd2412593824,BTC,-43.86952038105902
265,2e9e189e7ff8b9691e69f0766a657833,ETH,-488.56952091497
266,2eba8872320e3541c7861990ad6fd68a,ETH,-390.64085228755
267,2ed37367ad1648fcb8bd6cc3f61aad44,BTC,-1304.7141875464997
268,2f1db387b44bdbfd08d3788f569d3e4f,BTC,-1282.8307684971999
269,2f23cbd1c46b27c7aa597b677424b229,BTC,-643.8595373605
270,2f2fb5fd95240023b7661b9e37de0ddf,BTC,-4811.858338071524
271,2f49960d2f087fde9b9e90c20eb13d58,BTC,-2.012136
272,2f73662353cc14cb72f70ed6b7967e07,LTC,-2194.8055
273,2f9fd1424bc225bdef9aa89de0b389c1,BTC,-0.00024773159999999994
274,2faa2020985b5db1f01c5b4161ba8bbc,BTC,-1.2227611584
275,2fcfa8c608f7a7cbf5479e59763a8fba,BTC,-0.1761820471
276,2fe51a9f47c02021042ccdae00d81504,LTC,-103.649129194
277,30c4ea69ed0b144de440513e2076f651,ETH,-623.4122279697316
278,30dedcabc503c294e16078d6e4116c08,BTC,-1104.928
279,317f59faf0f3b9a1986494875e3af738,ETH,-357.005545236884
280,3198385f7cdbc902347d1b65a13f68fa,BTC,-21.05091269834
281,31b2c42e152e9013565d31cd3d88d1eb,BTC,0.0
282,31bee0c0ca5cc0d897f49d1f771c5e68,LTC,-324.7568583746763
283,3211844400c1884a1dd3ff63ddb584a0,ETH,-641.6844483526801
284,3271e1311c02786e29e773172429b83b,BTC,-79.5583696572
285,32790d4de8d05ecb82b8b08f2c225ec7,LTC,-4541.562346763006
286,328d0c557fa817928a86a8017c2b71c0,BTC,-1220.1934726217003
287,32d02bfd9f7fde4f234192823570d6f6,BTC,-263.73585543082004
288,32ee9c1283045e7af9739292238fb4b5,LTC,-384.21349999999995
289,32f30e61b4244e5802dfe80f7b67cee8,BTC,-2524.9280464140998
290,335ecae149b92ad5f1766bc99d178000,BTC,-1424.8773086548001
