,USER_ID,CURRENCY_TYPE,Aggregate_Amount_In_Wallet
126,150f7af15e094b87de01b6f266b9f911,BTC,-10.15345366
127,150f7af15e094b87de01b6f266b9f911,ETH,-17067.494753837902
128,151980fdbdc544a61db50f2c24cfaf84,BTC,-578.96374468746
129,151980fdbdc544a61db50f2c24cfaf84,ETH,-92.81723084688
130,151d40890861a403b788207a72e4a64a,BTC,0.0
131,151d40890861a403b788207a72e4a64a,LTC,0.0
132,1548693ab03c4bf87fe6579251368ecb,BTC,-9120.704743756605
133,154b32ffe1398a2e018eb4b2e13c37cf,BTC,-3667.651
134,154b32ffe1398a2e018eb4b2e13c37cf,ETH,-317.526274493129
135,154b32ffe1398a2e018eb4b2e13c37cf,LTC,-99.001220711227
136,15dfd72e7dfc3e7039e3b7a763bdb3c9,BTC,-89174.8264111075
137,15f13eadceb0eea6f106ef27772be85a,BTC,-108.04784123926
138,164ea36dcfe2da49fc6bf4f845ec8561,BTC,-0.042222300000000004
139,166c196d38dc4c7fca876a8230b25d21,LTC,-0.3493499766551266
140,167eb9b72935f3a232fa90e3a5752ed3,BTC,-0.0371419
141,16a9164ee408cd14b4637ea952e430c7,BTC,-10.045889940000002
142,171905e95d4ba808255e1d010345f857,BTC,-7558.161840015509
143,171905e95d4ba808255e1d010345f857,ETH,-610.6953000000001
144,171905e95d4ba808255e1d010345f857,LTC,-580.956
145,17297d124c1b71de8f35fdb9ce06a202,BTC,-2.0898103199999998
146,17835a1a20e5da879ab91e165e694897,BTC,-0.042178
147,17e107e57045eb8fdb8b74649153ef8d,BTC,-0.0241494
148,1878074d79b16225edebeb1de8af6f0d,BTC,-407.58351430724
149,1885b00d55950beaaaa01907ff6e5873,BTC,-103.172260675
150,18bc4d3962ea1876b8dbf03271866046,BTC,-84.409666714
151,18bc4d3962ea1876b8dbf03271866046,ETH,-93.44269422480001
152,18bc4d3962ea1876b8dbf03271866046,LTC,-364.89134592149793
153,18e3c55031b452fbde7db524bb1dcbc1,BTC,-11.504653707599994
154,194da53d57e61994fe830faecbca258a,BTC,-466.6873065618
155,194da53d57e61994fe830faecbca258a,ETH,-237.11604395001
156,194da53d57e61994fe830faecbca258a,LTC,-242.940078679435
157,19c2a8575c962730b66bd9b776a1784d,BTC,-1995.5596372812
158,19c2a8575c962730b66bd9b776a1784d,ETH,-4307.993364906
159,1a1838f25a915e4febf3d10c389ddaf3,BTC,0.0
160,1a1838f25a915e4febf3d10c389ddaf3,ETH,-227.83944396471009
161,1a788e529544b6118db9e027bfd94dc5,BTC,-211.8879009301
162,1a788e529544b6118db9e027bfd94dc5,ETH,-1.281031082
163,1ad0b76eef6864ca4327687a971b3610,BTC,-0.012195087439999999
164,1b6637297fa5432bb56d0bbd34a1db99,BTC,-0.47083473719
165,1bbac35687f006d8d07a503c67832800,ETH,-15948.58319130981
166,1bbc98a2871ac9241d4f2918b3d76d7a,BTC,-5.130962761829999
167,1c2030d9d36d19e25ab2e9f201983f56,BTC,-1.023373611
168,1c59f95a905b9a58b66fd6d4bf8b0807,BTC,-61.38523265375011
169,1cc1aa484fe04f5001f25a4c60e5d814,BTC,-1749.9036532111
170,1cc1aa484fe04f5001f25a4c60e5d814,ETH,-1155.19151184944
171,1cc1aa484fe04f5001f25a4c60e5d814,LTC,-2413.685783143448
172,1ccab5a6fea0515badb7e0bd867ddbc2,ETH,-4629.19491916472
173,1ccab5a6fea0515badb7e0bd867ddbc2,LTC,-17907.141366134336
174,1cde2081a5960c10e5fcc0791237e2c2,BTC,0.0
175,1d54fc1a3aaae553eebf72f6a60e7951,BTC,-509.7988987784
176,1e8c1c00f3bb54db256dc1f9f51ac4d8,BTC,-0.039187200000000005
