,USER_ID,TRANSACTED_CURRENCIES
380,64e010e432b7dc4b66f3a750aafe8094,"BTC, ETH, LTC, USD"
381,650d7759e013aaad8bc49b453cec52ea,"BTC, ETH"
382,65b67e82aa63d7b3c59b1334f4a5e51f,BTC
383,6613cbf100035f159e038abb2f706c07,"BTC, ETH, LTC, USD"
384,669ee777533182634afac22b181c5160,"ETC, ETH, USD"
385,66a29344adca38d118f19dbdae8e632c,BTC
386,66c58df862f616205af5c8a30b93e00d,BTC
387,66c7c0e0c06cb7b8e8ff710225242f80,"BTC, ETH, LTC"
388,67236843ce666bf59fd67ac51e2d904f,"BTC, ETH, LTC"
389,67aa0847320a6f22ca3ee54f3748b808,BTC
390,67ef75518d52851758ef308522cc9fc9,"BTC, ETH"
391,6842f7301f857f40bb273c6491ff4ece,BTC
392,6859075b6fcf1be259e232c7e1a8b74c,BTC
393,68d174508f64a55dde75eebd697ac499,"BTC, ETH, LTC"
394,6976b014a69a5e8b3a1401731a8494c0,BTC
395,69b8fc22e62176c6ca474d5b834a22f2,BTC
396,69dc6072b5194f84ae868a1f39d283a0,BTC
397,6a092c1b4cdb7f1742c3a3719ab5929c,BTC
398,6a12499a0d8765bb19772a6f4be5bccf,BTC
399,6a1bc97218233d0e37d37f91e9d7c720,BTC
400,6a3a9316a22f9d714c0a8f0c916e9b82,BTC
401,6a4db33b8d4f3161bf0cc879877ac1b7,BTC
402,6a4e1f76f8ab2c65bc6616ef7d7db904,"BTC, ETH, EUR, LTC"
403,6accb819e251b0150c731331d3712cde,ETH
404,6af9244d20fc021270214e22c33a46f8,BTC
405,6b2f573b84f1cb31d3d6031016816d43,BTC
406,6ba36e3a48300c0344e82b7c1a064925,"BTC, ETH, EUR, LTC"
407,6bd1a1974ce9639975d6ff60449ef4c9,BTC
408,6be14ae41aef33323b24ed1f1d428668,"BTC, ETH, LTC"
409,6c2583e0003c26998964a2da44288b38,BTC
410,6c88fdce045bbe21deee491cf84fd371,BTC
411,6c8c62fa4f9eba972d9dc8924228a239,BTC
412,6cb8947d1cdbecc50f022f7dd6f9d8df,"BTC, ETH, LTC"
413,6d4ddf6dfb4eba72b120992dd93231c5,BTC
414,6d4ef79c24158a9a25c3eb7d6876b1b3,BTC
415,6d9333dcb868de360c50c33364e8ea2a,"BTC, ETH"
416,6da8e98549cd711ed59373a4706d0911,BTC
417,6db5227083eb5f05730567aac8633598,"BTC, ETH, LTC"
418,6e9d36318bca172a93f73781c59609ba,"BTC, ETH, GBP"
419,6eb3bca624c522426c461c9df91d679f,"BTC, EUR, LTC"
420,6eb95af5868d5f7e42d8470eb92e20d1,"BTC, ETH, LTC"
421,6ebe421c8cc54ea1407dba4cf6e0024e,BTC
422,6f0ce56589c71ca3b298dd58ee01cc5f,"BTC, USD"
423,6f13e29b411cc8218984d94b0fda2b8f,BTC
424,6f17e6561b710769b3d1bab508ff9348,"BTC, ETH, USD"
425,6f249c38e287396614966bc11ba2883d,BTC
426,6f2a72dbcf07d1d698fdeeb09eca8ed9,"BTC, ETH"
427,6f6ede625256deb8c1998456618c1b51,BTC
428,6f7f19af183bceea8ba6bbec8189c093,"BTC, ETH, EUR, LTC"
429,6fb41be7fd912155102b9c9fc37c61e4,BTC
430,703b5dc960757c6e9a4ef2ed19af9ce4,BTC
431,70584a4e11803adc0fdcca96b56f4bf6,BTC
432,7059ca76fc19c3279e05e5446648a4db,"BTC, USD"
433,70672d581cbe29ad2c5e98bc700b05a4,BTC
434,70ae44077789ad88d5f6954ce62e2936,"BTC, EUR"
435,70c06a4865967605aa82fbf5f977890c,"BTC, ETH, USD"
436,714630b33b38001d7a68813467a80a57,"BTC, ETH"
437,71a678edfb89a33e44d0ddb0de4de7de,BTC
